,QUADRANT,MIN_LONG,MAX_LONG,MIN_LAT,MAX_LAT,MID_LAT,MID_LONG,NUM_PROPS,NUM_CRIMES,DIST_STATION,NUM_PEOPLE,CRIME_RATE
2070,2070,-71.10881640000001,-71.10497322,42.3620504,42.36534216,42.36369628,-71.10689481,0,0,1.856623682811389,96,0.0
2071,2071,-71.10497322,-71.10113004,42.3620504,42.36534216,42.36369628,-71.10305163000001,0,0,1.6892348387211853,448,0.0
2072,2072,-71.10113004,-71.09728686,42.3620504,42.36534216,42.36369628,-71.09920844999999,0,0,1.5287354167385874,1109,0.0
2073,2073,-71.09728686,-71.09344368000001,42.3620504,42.36534216,42.36369628,-71.09536527,0,0,1.3775356283580376,90,0.0
2074,2074,-71.09344368000001,-71.0896005,42.3620504,42.36534216,42.36369628,-71.09152209000001,0,0,1.2390446460085196,354,0.0
2075,2075,-71.0896005,-71.08575732,42.3620504,42.36534216,42.36369628,-71.08767891,0,0,1.1179953768618403,247,0.0
2076,2076,-71.08575732,-71.08191414000001,42.3620504,42.36534216,42.36369628,-71.08383573,0,63,1.0206127996742866,442,0.1425339366515837
2077,2077,-71.08191414000001,-71.07807096,42.3620504,42.36534216,42.36369628,-71.07999255000001,0,141,0.9541709038627969,936,0.15064102564102563
2078,2078,-71.07807096,-71.07422778,42.3620504,42.36534216,42.36369628,-71.07614937,0,769,0.8292937423493133,1311,0.5865751334858886
2079,2079,-71.07422778,-71.0703846,42.3620504,42.36534216,42.36369628,-71.07230619,0,570,0.6369867065694831,112,5.089285714285714
2080,2080,-71.0703846,-71.06654142000001,42.3620504,42.36534216,42.36369628,-71.06846301,493,426,0.44812608281170274,54,7.888888888888889
2081,2081,-71.06654142000001,-71.06269824,42.3620504,42.36534216,42.36369628,-71.06461983,25,4,0.2700423851438059,363,0.011019283746556474
2082,2082,-71.06269824,-71.05885506,42.3620504,42.36534216,42.36369628,-71.06077665000001,122,0,0.1485589483605782,349,0.0
2083,2083,-71.05885506,-71.05501188000001,42.3620504,42.36534216,42.36369628,-71.05693347,677,191,0.21967615708319255,0,inf
